Applicant_ID,Annual_Income,Applicant_Age,Work_Experience,Marital_Status,House_Ownership,Vehicle_Ownership(car),Occupation,Residence_City,Residence_State,Years_in_Current_Employment,Years_in_Current_Residence,Loan_Default_Risk
29131,8323780,62,8,single,rented,yes,Designer,Dhule,Maharashtra,5,14,0
79023,6254644,69,11,single,rented,yes,Hotel_Manager,Bhind,Madhya_Pradesh,7,10,0
84937,8371074,78,11,single,norent_noown,yes,Architect,Kollam,Kerala,5,13,0
16822,2024213,38,19,single,rented,no,Comedian,Durg,Chhattisgarh,8,14,1
36734,46244,36,9,single,rented,no,Statistician,Ajmer,Rajasthan,8,14,0
15603,9475063,39,9,single,rented,no,Graphic_Designer,Malegaon,Maharashtra,4,14,0
28534,6406820,54,5,single,rented,yes,Aviator,Kottayam,Kerala,3,14,0
69770,6654390,67,15,single,rented,yes,Geologist,Bhalswa_Jahangir_Pur,Delhi,4,13,0
11406,4702825,59,8,single,rented,no,Dentist,Indore,Madhya_Pradesh,5,13,0
96853,4195302,22,9,single,rented,no,Psychologist,Gaya,Bihar,3,11,0
16131,8390119,37,0,single,rented,no,Consultant,Guna,Madhya_Pradesh,0,14,0
19793,8744413,27,12,single,rented,no,Drafter,Hapur,Uttar_Pradesh,12,13,0
89578,2327351,57,10,single,rented,yes,Design_Engineer,Agartala,Tripura,10,12,0
40164,1999326,50,8,single,rented,no,Secretary,Thiruvananthapuram,Kerala,4,12,0
31777,1198501,62,19,single,rented,no,Economist,Hapur,Uttar_Pradesh,13,11,0
25331,6134910,60,6,married,rented,yes,Geologist,Kharagpur,West_Bengal,3,11,0
79157,2229190,21,11,single,rented,no,Official,Rewa,Madhya_Pradesh,9,11,0
51686,8863428,74,5,single,rented,no,Chemical_engineer,Jorhat,Assam,5,14,0
75499,676370,69,11,single,rented,yes,Graphic_Designer,Ambattur,Tamil_Nadu,11,12,0
4728,7731278,33,12,married,rented,no,Flight_attendant,Sambhal,Uttar_Pradesh,11,13,0
85199,6619894,44,16,married,rented,yes,Politician,Etawah,Uttar_Pradesh,6,14,0
35796,1110768,34,3,single,rented,no,Computer_hardware_engineer,Bellary,Karnataka,3,11,0
12257,9856572,75,8,single,rented,no,Geologist,New_Delhi,Delhi,8,12,0
35719,7781258,72,9,single,rented,no,Army_officer,South_Dumdum,West_Bengal,9,11,0
70552,5817501,61,2,single,norent_noown,no,Hotel_Manager,Gangtok,Sikkim,2,10,0
54375,8633347,27,4,single,rented,no,Microbiologist,Aizawl,Mizoram,4,14,0
39692,8640226,40,12,single,owned,no,Financial_Analyst,Pimpri-Chinchwad,Maharashtra,9,10,0
93703,3766437,24,11,married,norent_noown,no,Comedian,Nangloi_Jat,Delhi,10,10,0
73692,6755991,65,0,single,rented,no,Librarian,Anantapuram[24],Andhra_Pradesh,0,12,0
98071,2175522,64,1,single,rented,no,Librarian,Mangalore,Karnataka,1,13,0
576,9976498,69,12,single,rented,no,Drafter,Guna,Madhya_Pradesh,12,10,0
84611,9576816,45,5,single,rented,no,Aviator,Hazaribagh,Jharkhand,5,14,1
61770,9094830,45,19,single,rented,no,Scientist,Kumbakonam,Tamil_Nadu,5,12,0
32261,4062276,27,7,single,rented,no,Software_Developer,Jhansi,Uttar_Pradesh,7,12,0
82200,3477314,61,14,single,rented,no,Magistrate,Proddatur,Andhra_Pradesh,5,12,0
36291,3663764,40,0,single,rented,no,Consultant,Avadi,Tamil_Nadu,0,10,0
78450,7373046,79,18,single,norent_noown,no,Microbiologist,Bhagalpur,Bihar,9,10,0
60056,9506949,49,14,single,rented,yes,Civil_servant,Bellary,Karnataka,13,11,0
45949,8497267,65,6,single,rented,no,Civil_engineer,Madanapalle,Andhra_Pradesh,6,12,0
28178,6028273,70,6,single,rented,yes,Web_designer,Meerut,Uttar_Pradesh,6,14,0
84464,9709186,50,20,single,rented,no,Politician,Tiruppur,Tamil_Nadu,9,11,0
579,9272937,75,18,single,rented,yes,Technology_specialist,Jehanabad[38],Bihar,7,13,0
30960,3635824,56,8,single,rented,no,Geologist,Machilipatnam,Andhra_Pradesh,8,13,0
64291,9103667,54,3,married,owned,no,Software_Developer,Howrah,West_Bengal,3,12,1
14532,1737580,39,0,married,rented,no,Flight_attendant,Jamshedpur,Jharkhand,0,13,0
17934,3248934,40,10,single,rented,no,Computer_hardware_engineer,Kolkata,West_Bengal,10,12,0
33609,6976958,64,1,single,rented,no,Technical_writer,Phagwara,Punjab,1,13,0
49960,4515909,22,12,single,rented,yes,Chef,Sonipat,Haryana,7,13,0
66599,1047915,23,4,single,rented,yes,Artist,Dhule,Maharashtra,4,11,0
99090,5400619,71,1,single,rented,no,Software_Developer,Allahabad,Uttar_Pradesh[5],1,12,0
34452,3038020,30,15,single,rented,yes,Firefighter,Bhusawal,Maharashtra,4,10,1
34081,5209218,44,20,single,rented,no,Mechanical_engineer,Giridih,Jharkhand,3,14,0
63588,6117963,51,20,single,rented,yes,Magistrate,Bangalore,Karnataka,10,10,0
4294,4657522,59,9,single,owned,no,Artist,New_Delhi,Delhi,4,13,0
69103,6652412,30,18,single,owned,yes,Fashion_Designer,Bhopal,Madhya_Pradesh,7,13,0
86412,6915937,64,0,single,rented,no,Civil_servant,Jalgaon,Maharashtra,0,12,0
99477,4295693,52,13,single,rented,no,Graphic_Designer,Deoghar,Jharkhand,6,13,0
53930,1706172,33,2,single,rented,no,Economist,Jamnagar,Gujarat,2,14,0
87071,1112644,23,16,single,rented,yes,Official,Navi_Mumbai,Maharashtra,6,10,1
65084,5620082,58,14,single,rented,no,Politician,Akola,Maharashtra,9,11,0
30713,4804143,24,16,single,rented,yes,Civil_engineer,Bhatpara,West_Bengal,8,11,0
49183,4702825,59,8,single,rented,no,Dentist,Indore,Madhya_Pradesh,5,13,0
57235,9934332,76,7,single,rented,no,Engineer,North_Dumdum,West_Bengal,7,14,0
15664,3337437,67,5,single,rented,no,Comedian,Ichalkaranji,Maharashtra,5,14,1
19967,9774160,24,9,single,rented,yes,Mechanical_engineer,Malegaon,Maharashtra,9,12,0
91913,4341286,75,1,single,rented,no,Consultant,Tirupati[21][22],Andhra_Pradesh,1,13,0
91958,1328487,67,12,married,rented,no,Flight_attendant,Surendranagar_Dudhrej,Gujarat,7,10,0
81347,1468580,69,3,single,rented,yes,Fashion_Designer,Junagadh,Gujarat,3,12,0
55326,3309801,69,19,single,rented,yes,Web_designer,Gandhinagar,Gujarat,6,11,0
29858,8132252,72,7,single,rented,no,Mechanical_engineer,Karaikudi,Tamil_Nadu,6,13,0
71223,7055046,22,10,single,rented,no,Lawyer,Nellore[14][15],Andhra_Pradesh,6,13,0
52459,5764547,21,8,single,rented,no,Petroleum_Engineer,Thrissur,Kerala,7,10,0
88346,1051509,54,2,single,rented,no,Engineer,Dewas,Madhya_Pradesh,2,12,0
82364,5272864,40,19,single,rented,yes,Statistician,Katihar,Bihar,13,11,0
65350,5707558,57,9,single,rented,no,Economist,Jaipur,Rajasthan,9,10,0
59650,667848,58,10,single,rented,no,Comedian,Faridabad,Haryana,8,12,0
44953,9165973,37,14,single,norent_noown,yes,Dentist,Arrah,Bihar,11,11,0
39526,9002497,25,11,single,rented,no,Civil_servant,Vadodara,Gujarat,11,12,0
13936,7134787,63,15,single,rented,no,Web_designer,Sambalpur,Odisha,12,12,1
93781,7733758,27,20,single,rented,no,Official,Baranagar,West_Bengal,4,11,0
89885,5827981,34,1,single,rented,no,Technical_writer,Deoghar,Jharkhand,1,12,0
81144,4991059,39,11,single,rented,no,Magistrate,Jhansi,Uttar_Pradesh,11,14,0
95800,7895335,34,17,single,rented,no,Computer_operator,Bulandshahr,Uttar_Pradesh,5,11,0
89405,827855,41,15,single,rented,no,Scientist,Vijayanagaram,Andhra_Pradesh,8,13,1
55224,6329094,26,17,single,rented,no,Army_officer,Thrissur,Kerala,12,11,1
73646,1886741,37,11,single,rented,no,Dentist,Raipur,Chhattisgarh,11,14,0
66294,5840140,55,0,single,rented,no,Mechanical_engineer,Nangloi_Jat,Delhi,0,10,0
65540,9493120,63,19,single,rented,no,Hotel_Manager,Nagercoil,Tamil_Nadu,12,11,0
28111,9488176,30,7,single,rented,no,Politician,Hyderabad,Telangana,7,11,0
41929,4088166,40,7,single,rented,no,Architect,Dhule,Maharashtra,7,14,1
86547,7465121,37,2,single,rented,yes,Microbiologist,Siliguri,West_Bengal,2,12,0
82586,3311941,60,19,single,owned,no,Civil_servant,Pali,Rajasthan,11,14,0
38604,4408094,30,8,single,rented,yes,Petroleum_Engineer,Saharsa[29],Bihar,4,10,0
91658,9345456,35,12,married,rented,yes,Civil_servant,Pallavaram,Tamil_Nadu,7,10,0
62787,8996000,75,14,single,rented,yes,Air_traffic_controller,Srinagar,Jammu_and_Kashmir,9,11,0
84341,1389018,55,18,single,rented,no,Microbiologist,Vellore,Tamil_Nadu,9,11,0
39875,9644741,45,2,single,rented,no,Firefighter,Anand,Gujarat,2,10,0
78469,3816048,55,1,single,rented,no,Chemical_engineer,Sirsa,Haryana,1,14,0
31632,6623111,37,9,single,rented,no,Psychologist,Nadiad,Gujarat,9,13,0
14953,5824010,45,3,single,rented,no,Physician,Pune,Maharashtra,3,11,0
39332,1043629,48,2,single,rented,no,Microbiologist,Tiruppur,Tamil_Nadu,2,11,0
48588,326455,27,20,single,rented,no,Drafter,Asansol,West_Bengal,3,14,0
83595,7497572,25,13,single,rented,yes,Designer,Malda,West_Bengal,8,14,0
41488,6552503,21,15,married,rented,yes,Design_Engineer,Bareilly,Uttar_Pradesh,3,11,0
39628,2475883,64,2,single,rented,no,Magistrate,Bally,West_Bengal,2,10,0
87895,9728879,30,5,single,rented,yes,Artist,Gudivada,Andhra_Pradesh,5,12,0
26304,5502824,54,16,single,rented,yes,Civil_servant,Muzaffarnagar,Uttar_Pradesh,12,10,0
67404,2153305,21,11,single,rented,yes,Computer_hardware_engineer,Shimla,Himachal_Pradesh,11,14,0
98085,9455042,33,20,single,rented,no,Politician,Bokaro,Jharkhand,10,12,0
95602,3619689,41,7,single,rented,yes,Fashion_Designer,Nellore[14][15],Andhra_Pradesh,7,10,0
5020,3040483,33,7,single,rented,yes,Surgeon,Haridwar,Uttarakhand,7,11,1
5224,4435200,60,15,single,rented,no,Flight_attendant,Satara,Maharashtra,5,10,1
15781,4095222,36,15,single,rented,no,Industrial_Engineer,Vijayanagaram,Andhra_Pradesh,4,11,0
45557,335570,73,13,single,rented,yes,Police_officer,Hajipur[31],Bihar,3,12,0
12897,8909724,71,4,single,rented,no,Artist,Sri_Ganganagar,Rajasthan,4,11,1
34305,1038909,58,19,single,rented,yes,Civil_servant,Gorakhpur,Uttar_Pradesh,4,11,1
93323,279241,41,0,single,rented,yes,Physician,Thiruvananthapuram,Kerala,0,14,1
5325,8400495,54,15,single,rented,no,Official,Khandwa,Madhya_Pradesh,3,11,0
52926,5456621,60,16,single,rented,no,Analyst,Rewa,Madhya_Pradesh,9,13,0
62865,9017624,70,19,single,norent_noown,no,Financial_Analyst,Tumkur,Karnataka,6,14,0
8019,6304775,21,13,single,rented,no,Official,Davanagere,Karnataka,7,11,0
82945,5648251,48,2,single,rented,yes,Graphic_Designer,Bahraich,Uttar_Pradesh,2,13,0
90377,1265890,57,0,single,rented,no,Technician,Uluberia,West_Bengal,0,14,0
41721,954408,28,8,single,rented,yes,Civil_engineer,Proddatur,Andhra_Pradesh,8,13,0
867,1728444,66,10,single,rented,yes,Magistrate,Jhansi,Uttar_Pradesh,10,13,0
98444,1043413,33,16,single,rented,no,Hotel_Manager,Satara,Maharashtra,8,13,0
83040,2548584,42,13,single,rented,no,Magistrate,Karaikudi,Tamil_Nadu,13,13,0
13925,6000177,70,1,single,rented,no,Hotel_Manager,Faridabad,Haryana,1,14,0
79893,9739777,22,18,single,rented,no,Firefighter,Panipat,Haryana,4,10,0
31184,933077,40,8,single,rented,yes,Air_traffic_controller,Etawah,Uttar_Pradesh,8,10,0
13800,3651865,76,0,married,rented,no,Civil_engineer,Adoni,Andhra_Pradesh,0,11,0
40989,9589262,43,13,single,rented,no,Web_designer,Bidhannagar,West_Bengal,4,10,0
66734,6051217,48,20,single,owned,no,Analyst,Proddatur,Andhra_Pradesh,7,12,0
78331,2309585,31,7,married,rented,no,Surveyor,Mirzapur,Uttar_Pradesh,7,10,0
24379,496449,44,12,single,rented,no,Architect,Erode[17],Tamil_Nadu,10,10,0
23415,5798034,28,19,single,norent_noown,no,Software_Developer,Motihari[34],Bihar,3,12,0
97560,9685299,65,14,single,rented,no,Graphic_Designer,Jorhat,Assam,3,11,0
22993,9391736,53,3,single,rented,yes,Librarian,Jodhpur,Rajasthan,3,10,0
3232,1294095,47,9,single,owned,no,Surgeon,Hajipur[31],Bihar,8,14,0
41996,5591112,50,16,single,rented,no,Magistrate,Salem,Tamil_Nadu,9,11,0
49188,7341279,50,0,single,rented,no,Industrial_Engineer,Rajpur_Sonarpur,West_Bengal,0,11,0
22515,5472585,63,17,married,rented,no,Computer_operator,Ramagundam[27],Telangana,6,11,0
21326,6379086,72,11,married,rented,yes,Drafter,Gaya,Bihar,11,12,0
86234,3606776,69,10,single,rented,no,Technology_specialist,Tiruppur,Tamil_Nadu,10,13,0
88127,9934305,31,9,single,rented,no,Police_officer,Kozhikode,Kerala,9,11,0
29824,8853692,48,15,single,rented,yes,Computer_hardware_engineer,Tadipatri,Andhra_Pradesh,7,14,0
92485,52469,60,10,single,rented,no,Statistician,Durgapur,West_Bengal,5,10,0
68425,1765694,30,5,single,rented,no,Psychologist,Bhind,Madhya_Pradesh,5,14,0
64484,3075503,32,17,single,rented,no,Magistrate,Bhavnagar,Gujarat,3,13,1
51020,2286483,22,3,single,rented,yes,Physician,Gandhinagar,Gujarat,3,12,0
26754,1133068,53,12,single,rented,no,Secretary,Tiruvottiyur,Tamil_Nadu,12,11,0
49964,9538930,73,1,single,rented,yes,Engineer,Chennai,Tamil_Nadu,1,12,0
42732,7367762,67,16,single,rented,no,Official,Berhampore,West_Bengal,13,12,0
29057,3437016,74,4,single,rented,no,Chartered_Accountant,Adoni,Andhra_Pradesh,4,14,0
55318,3483756,62,8,single,rented,yes,Dentist,Satna,Madhya_Pradesh,8,14,0
35497,2984988,70,7,single,rented,yes,Web_designer,Bijapur,Karnataka,7,13,0
56338,6547688,27,5,single,rented,yes,Army_officer,Mango,Jharkhand,4,12,1
79278,3771768,38,13,single,rented,no,Army_officer,Guntur[13],Andhra_Pradesh,9,13,0
5465,575463,60,12,single,rented,yes,Firefighter,Gandhinagar,Gujarat,11,13,0
70156,1010539,39,9,single,rented,no,Secretary,Hyderabad,Telangana,4,13,0
70670,5714975,41,10,single,rented,yes,Petroleum_Engineer,Dhule,Maharashtra,10,14,0
56014,9587742,27,5,single,rented,yes,Financial_Analyst,Guntur[13],Andhra_Pradesh,5,12,0
12086,4022242,69,17,single,rented,no,Magistrate,Panihati,West_Bengal,9,12,0
56819,5533812,61,13,single,owned,yes,Chartered_Accountant,Raebareli,Uttar_Pradesh,10,11,0
20001,2936423,69,11,married,rented,yes,Chartered_Accountant,Bahraich,Uttar_Pradesh,6,13,0
69067,1503033,72,19,married,rented,no,Software_Developer,Ghaziabad,Uttar_Pradesh,3,12,0
50453,8026612,38,13,single,rented,yes,Psychologist,Patna,Bihar,9,11,0
90710,9744419,47,10,single,rented,yes,Fashion_Designer,Bharatpur,Rajasthan,10,13,0
52885,226629,53,18,single,rented,no,Psychologist,Sirsa,Haryana,12,11,0
30964,9474065,73,11,single,rented,no,Graphic_Designer,Bokaro,Jharkhand,3,11,0
34574,5796023,30,3,single,rented,no,Dentist,Buxar[37],Bihar,3,11,1
15295,3247184,70,17,single,rented,yes,Flight_attendant,Mirzapur,Uttar_Pradesh,13,10,0
27919,9238028,46,19,single,rented,no,Hotel_Manager,Latur,Maharashtra,3,14,0
46121,2859480,30,14,single,owned,no,Technician,Sri_Ganganagar,Rajasthan,10,12,1
35074,66912,27,10,married,rented,no,Software_Developer,Jalandhar,Punjab,10,14,0
10551,9864680,68,13,single,rented,yes,Technician,Vijayanagaram,Andhra_Pradesh,12,14,0
91128,2354980,64,7,single,rented,no,Magistrate,Tiruvottiyur,Tamil_Nadu,7,11,0
691,1990293,54,15,single,rented,no,Web_designer,Nagpur,Maharashtra,4,10,0
77730,6558368,67,1,married,rented,no,Statistician,Pimpri-Chinchwad,Maharashtra,1,10,0
36097,874408,47,18,single,rented,no,Chef,Bhiwani,Haryana,3,11,0
65352,5335142,79,4,single,rented,yes,Consultant,Malegaon,Maharashtra,4,13,0
11041,7352225,78,14,married,rented,no,Firefighter,Rajpur_Sonarpur,West_Bengal,6,14,0
4222,9131685,72,13,single,norent_noown,no,Computer_hardware_engineer,Rajkot,Gujarat,13,10,0
822,3469231,42,12,single,rented,no,Surgeon,Rohtak,Haryana,12,14,0
38129,4536797,69,8,single,rented,no,Consultant,Mathura,Uttar_Pradesh,4,11,0
89152,5190632,59,6,single,rented,no,Flight_attendant,Kochi,Kerala,6,10,1
29232,3671761,29,18,single,rented,yes,Scientist,Dehradun,Uttarakhand,3,14,0
50557,1494575,69,19,single,rented,no,Magistrate,Shimoga,Karnataka,10,11,0
33685,5769906,48,5,married,rented,no,Firefighter,Kadapa[23],Andhra_Pradesh,4,11,0
58754,2605652,55,20,single,owned,no,Surgeon,Madanapalle,Andhra_Pradesh,9,14,0
27023,8769550,23,13,single,rented,no,Computer_hardware_engineer,Ghaziabad,Uttar_Pradesh,9,10,1
36906,5281427,29,7,single,rented,yes,Analyst,Gandhidham,Gujarat,3,13,0
271,2452563,75,3,single,rented,no,Hotel_Manager,Kulti,West_Bengal,3,12,0
8867,4539857,43,4,single,rented,no,Politician,Buxar[37],Bihar,4,14,0
15007,4986118,72,19,single,rented,yes,Geologist,Hospet,Karnataka,10,13,0
4689,3183557,49,10,single,rented,yes,Aviator,Dharmavaram,Andhra_Pradesh,10,10,0
81996,5307708,67,17,single,rented,no,Geologist,Arrah,Bihar,4,13,0
84373,2090531,71,7,married,rented,no,Microbiologist,Aligarh,Uttar_Pradesh,3,12,0
2515,1281153,71,0,married,rented,no,Designer,Bhagalpur,Bihar,0,11,0
36400,505809,33,9,single,rented,yes,Air_traffic_controller,Anantapuram[24],Andhra_Pradesh,9,10,0
38869,2397672,70,6,single,rented,no,Graphic_Designer,Thiruvananthapuram,Kerala,6,11,1
58245,718860,79,13,single,rented,no,Design_Engineer,Hazaribagh,Jharkhand,3,10,0
30410,2620497,39,6,married,norent_noown,no,Financial_Analyst,Kavali,Andhra_Pradesh,4,12,0
54795,6852832,44,10,single,rented,no,Financial_Analyst,Pallavaram,Tamil_Nadu,10,14,0
19264,8897257,65,12,single,rented,no,Fashion_Designer,Siwan[32],Bihar,5,14,1
83910,6134981,49,2,single,rented,yes,Hotel_Manager,Nanded,Maharashtra,2,10,1
26974,5605985,57,12,single,rented,no,Engineer,Bidar,Karnataka,3,11,0
7130,1255514,25,19,single,rented,yes,Consultant,Tumkur,Karnataka,12,10,0
7145,54128,61,13,single,rented,no,Fashion_Designer,Ambala,Haryana,3,13,0
45466,5695619,29,4,single,rented,no,Politician,Bhalswa_Jahangir_Pur,Delhi,4,13,0
1967,6359903,61,3,single,rented,yes,Consultant,Sambhal,Uttar_Pradesh,3,12,0
15153,5610392,31,6,married,rented,no,Computer_operator,Proddatur,Andhra_Pradesh,6,10,0
19114,9254969,75,7,single,rented,no,Civil_engineer,Tinsukia,Assam,7,10,1
76207,4683990,33,9,single,rented,yes,Physician,Panihati,West_Bengal,9,11,0
32142,6094810,70,17,single,owned,no,Biomedical_Engineer,Machilipatnam,Andhra_Pradesh,10,13,0
21935,527900,61,9,single,rented,yes,Economist,Meerut,Uttar_Pradesh,9,10,0
40360,6123115,27,16,single,rented,no,Police_officer,Tiruchirappalli[10],Tamil_Nadu,10,11,1
53842,5354632,75,19,single,rented,no,Geologist,Gulbarga,Karnataka,8,10,0
9163,5136629,76,6,married,rented,no,Artist,Lucknow,Uttar_Pradesh,6,13,0
87844,1942552,51,20,single,norent_noown,yes,Army_officer,Tiruchirappalli[10],Tamil_Nadu,4,13,0
37630,676370,69,11,single,rented,yes,Graphic_Designer,Ambattur,Tamil_Nadu,11,12,0
83305,4844257,38,11,single,rented,yes,Designer,Ajmer,Rajasthan,4,14,0
66270,9728879,30,5,single,rented,yes,Artist,Gudivada,Andhra_Pradesh,5,12,0
34654,7710303,41,12,single,rented,yes,Comedian,Motihari[34],Bihar,4,14,0
41963,1604148,35,20,single,rented,yes,Hotel_Manager,Phusro,Jharkhand,3,13,0
39591,7720372,72,6,single,rented,yes,Physician,Mira-Bhayandar,Maharashtra,6,11,0
81036,1106438,79,3,married,rented,no,Librarian,Serampore,West_Bengal,3,12,0
10981,9999180,22,0,single,rented,no,Drafter,Bhavnagar,Gujarat,0,11,0
56300,4195860,46,8,single,rented,no,Hotel_Manager,Mira-Bhayandar,Maharashtra,5,11,0
61549,4980371,64,17,single,rented,no,Microbiologist,Pondicherry,Puducherry,8,14,0
88401,4592797,66,20,single,rented,no,Computer_operator,Ambarnath,Maharashtra,13,11,0
44324,1818095,30,1,married,rented,no,Graphic_Designer,Amroha,Uttar_Pradesh,1,11,0
55208,5945722,38,8,single,rented,no,Surgeon,Rajpur_Sonarpur,West_Bengal,7,10,0
53528,8196352,36,19,single,rented,yes,Chemical_engineer,Aurangabad[39],Bihar,13,14,0
26971,4334000,36,4,single,rented,no,Politician,Berhampur,Odisha,4,11,0
73218,7896776,26,12,single,rented,no,Mechanical_engineer,Karimnagar,Telangana,9,14,0
65891,3468270,68,12,single,norent_noown,yes,Dentist,Rourkela,Odisha,6,14,0
42222,1429643,24,11,single,rented,no,Civil_servant,Ozhukarai,Puducherry,11,10,0
97866,7338543,34,9,single,rented,no,Microbiologist,Bilaspur,Chhattisgarh,3,12,0
12251,949253,59,6,married,rented,no,Economist,Shimoga,Karnataka,6,10,0
69437,416754,26,6,single,rented,no,Graphic_Designer,Tadipatri,Andhra_Pradesh,4,12,0
38433,1405890,34,2,single,owned,no,Graphic_Designer,"Khora,_Ghaziabad",Uttar_Pradesh,2,12,0
40890,754974,32,9,single,rented,no,Secretary,Hapur,Uttar_Pradesh,9,13,0
30999,4015092,72,18,single,rented,yes,Consultant,Aurangabad[39],Bihar,11,12,0
56146,8666033,52,1,married,rented,no,Politician,Uluberia,West_Bengal,1,12,0
95414,3529385,73,18,single,owned,no,Civil_servant,Aurangabad,Maharashtra,14,11,0
22156,117262,65,15,single,rented,no,Biomedical_Engineer,Uluberia,West_Bengal,12,12,0
17614,4245438,43,9,single,rented,yes,Psychologist,Udupi,Karnataka,6,11,0
56444,2825737,28,5,single,rented,no,Industrial_Engineer,Guntur[13],Andhra_Pradesh,5,10,0
98400,6204281,66,11,single,rented,no,Architect,Darbhanga,Bihar,11,10,0
24053,9672890,40,13,single,rented,yes,Chemical_engineer,Gorakhpur,Uttar_Pradesh,7,13,0
50243,7157631,30,13,single,owned,yes,Fashion_Designer,Pimpri-Chinchwad,Maharashtra,10,14,0
58999,5911221,53,4,single,rented,no,Librarian,Mirzapur,Uttar_Pradesh,4,11,0
31345,1526409,79,13,married,rented,no,Fashion_Designer,Mehsana,Gujarat,11,10,0
61242,6118487,42,12,single,rented,yes,Technical_writer,Srikakulam,Andhra_Pradesh,3,11,0
92530,3890846,58,16,married,rented,yes,Police_officer,Guntur[13],Andhra_Pradesh,4,11,0
80829,7903118,72,20,single,rented,no,Artist,Rajkot,Gujarat,13,11,0
51726,7134787,63,15,single,rented,no,Web_designer,Sambalpur,Odisha,12,12,1
33880,1586203,65,17,single,rented,no,Police_officer,Loni,Uttar_Pradesh,5,10,0
83007,3802714,71,16,single,rented,no,Software_Developer,Madanapalle,Andhra_Pradesh,8,13,1
73909,4325297,26,19,single,rented,no,Comedian,Jalandhar,Punjab,11,10,0
67247,8790456,41,2,single,rented,no,Designer,Tiruppur,Tamil_Nadu,2,11,0
88808,9109752,69,16,single,rented,yes,Surveyor,Tinsukia,Assam,7,13,1
13122,5021477,60,4,single,rented,no,Economist,Amroha,Uttar_Pradesh,4,10,0
8258,3114473,49,16,married,rented,yes,Surveyor,Katihar,Bihar,10,11,1
93381,9464294,42,9,single,rented,no,Computer_hardware_engineer,Rewa,Madhya_Pradesh,5,10,0
13915,3169984,29,1,single,rented,no,Politician,Haridwar,Uttarakhand,1,11,0
30903,7068566,49,9,single,rented,no,Designer,Singrauli,Madhya_Pradesh,9,11,0
72859,7321831,46,8,single,rented,no,Technician,Lucknow,Uttar_Pradesh,6,11,0
20293,9787696,69,5,single,rented,yes,Industrial_Engineer,Aligarh,Uttar_Pradesh,5,12,0
